UNIT,CNTYNAMB,lat,lon,STALP,ZIP,ASSET
Bom Bank,Caddo,32.461914,-93.72203,LA,71457,"612,117"
Bank Of Coushatta,Caddo,32.397961,-93.731403,LA,71019,"250,206"
Cross Keys Bank,Caddo,32.45706,-93.74603,LA,71366,"453,619"
Origin Bank,Caddo,32.443464,-93.729101,LA,71227,"6,611,931"
Community Bank Of Louisiana,Caddo,32.385151,-93.734699,LA,71052,"584,920"
First Guaranty Bank,Caddo,32.729977,-93.971375,LA,70401,"2,435,762"
Gibsland Bank & Trust Company,Caddo,32.383762,-93.81798,LA,71028,"476,276"
"Citizens Bank & Trust Company Of Vivian, Louisiana",Caddo,32.729526,-93.971169,LA,71082,"157,884"
Progressive Bank,Caddo,32.457007,-93.722088,LA,71201,"735,289"
Progressive National Bank,Caddo,32.402246,-93.809733,LA,71052,"85,818"
"Citizens National Bank, N.A.",Caddo,32.443349,-93.721997,LA,71111,"1,203,310"
Home Federal Bank,Caddo,32.449017,-93.720258,LA,71105,"518,919"
Iberiabank,Caddo,32.514136,-93.748004,LA,70501,"34,581,511"
Red River Bank,Caddo,32.385151,-93.734699,LA,71301,"2,361,744"
B1bank,Caddo,32.512626,-93.744535,LA,70801,"3,964,700"